KEY,FACE_TYPE,CLIENT_ID,SKU_ID,TRACKING_LEVEL,OWNER_ID,ORIGIN_ID,CONDITION_ID,SPEC_CODE,SITE_ID,LOCATION_ID,ZONE_1,TRIGGER_QTY,MIN_REPLEN_QTY,MAX_TASK_QTY,MAX_RELD_REPLEN,AUTO_REPLEN,REPLEN_WHOLE,ABC_FREQUENCY,ABC_STORAGE,ABC_DISABLE,BATCH_REPLEN_MODE,START_DSTAMP,END_DSTAMP,QTY_ON_HAND,QTY_ALLOCATED,QTY_DUE,PRIMARY_FACE,MAXIMUM_QTY,OVERFILL_RELATIVE_QTY,REPLEN_TRACKING_LEVEL,CE_INV_TYPE,CE_UNDER_BOND,MULTIPLE_LOCATIONS,REPLEN_ON_HOLD,REPLEN_TO_TRIGGER,REPLEN_SPLIT_TO_FIT,MAX_LOCATIONS,FROM_LOCATION,TO_LOCATION,FROM_AISLE,TO_AISLE,FROM_BAY,TO_BAY,FROM_LEVEL,TO_LEVEL,USER_DEF_TYPE_1,USER_DEF_TYPE_2,USER_DEF_TYPE_3,USER_DEF_TYPE_4,USER_DEF_TYPE_5,USER_DEF_TYPE_6,USER_DEF_TYPE_7,USER_DEF_TYPE_8,USER_DEF_CHK_1,USER_DEF_CHK_2,USER_DEF_CHK_3,USER_DEF_CHK_4
61446,F,M+S,20001661,,M+S,,,,9771,AQ59A01,,125,,,,Y,Y,,,N,N,,,350,1675,2100,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,25,,,N,N,N,N
64704,F,M+S,60536397,,M+S,,,,9771,WE39A01,,30,,,,Y,Y,,,N,N,,,420,96,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,6,0,,N,N,N,N
61448,F,M+S,60010054,,M+S,,,,9771,AQ08A01,,270,,,1,Y,Y,,,N,N,,,2592,216,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,54,,,N,N,N,N
53009,F,M+S,60605824,,M+S,,,,9771,WD66A01,,60,,,,Y,Y,,,N,N,,,744,228,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,12,0,,N,N,N,N
59997,F,M+S,60568305,,M+S,,,,9771,AZ36A01,,378,,,,Y,Y,,,N,N,,,192,78,3402,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
61449,F,M+S,20001808,,M+S,,,,9771,AQ72A01,,50,,,,Y,Y,,,N,N,,,430,750,800,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
64707,F,M+S,60272005,,M+S,,,,9771,WF23A01,,30,,,,Y,Y,,,N,N,,,642,408,0,N,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,6,2023,,N,N,N,N
65089,F,M+S,60713072,,M+S,,,,9771,AY06A01,,320,,,,Y,Y,,,N,N,,,720,0,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,8,,,N,N,N,N
61455,F,M+S,60100380,,M+S,,,,9771,WD72A02,,60,,,,Y,Y,,,N,N,,,516,564,2160,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,12,0,,N,N,N,N
70772,F,M+S,21055185,,M+S,,,,9771,BE24A01,,120,,,,Y,Y,,,N,N,,,252,336,840,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
61786,F,M+S,60650964,,M+S,,,,9771,AY23A01,,182,,,,Y,Y,,,N,N,,,784,630,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,14,,,N,N,N,N
64762,F,M+S,60551632,,M+S,,,,9771,WC44A01,,60,,,,Y,Y,,,N,N,,,960,96,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,12,0,,N,N,N,N
68140,F,M+S,60634052,,M+S,,,,9771,AQ45A01,,50,,,,Y,Y,,,N,N,,,80,480,800,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
71222,F,M+S,60603078,,M+S,,,,9771,BB65A01,,108,,,,Y,Y,,,N,N,,,84,462,756,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
62452,F,M+S,60283769,,M+S,,,,9771,AX42A02,,336,,,,Y,Y,,,N,N,,,2052,72,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
46242,F,M+S,60596374,,M+S,,,,9771,WG69A02,,60,,,,Y,Y,,,N,N,,,768,552,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,12,2023,,N,N,N,N
62453,F,M+S,60044239,,M+S,,,,9771,AY39A02,,336,,,,Y,Y,,,N,N,,,1230,66,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
57260,F,M+S,60514774,,M+S,,VETCERT,,9771,AG74A02,,1,1644,,,Y,N,,,N,N,,,648,522,0,Y,1644,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
46024,F,M+S,60060930,,M+S,,,,9771,WG22A01,,30,,,,Y,Y,,,N,N,,,174,42,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,6,2022,,N,N,N,N
65091,F,M+S,60713071,,M+S,,,,9771,AZ56A01,,320,,,,Y,Y,,,N,N,,,1288,8,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,8,,,N,N,N,N
70261,F,M+S,60071317,,M+S,,VETCERT,,9771,BB33A01,,1,378,,,Y,N,,,N,N,,,18,18,0,N,378,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,9,,,N,N,N,N
59868,F,M+S,60619263,,M+S,,,,9771,AJ62A02,,456,,,,Y,Y,,,N,N,,,2340,66,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
61467,F,M+S,21041743,,M+S,,,,9771,AQ36A01,,60,,,,Y,Y,,,N,N,,,84,396,864,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
66600,F,M+S,60011380,,M+S,,VETCERT,,9771,WM53A02,,1,3060,,,Y,N,,,N,N,,,0,0,0,N,3060,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
62492,F,M+S,60606463,,M+S,,,,9771,AX48A01,,300,,,,Y,Y,,,N,N,,,650,500,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,50,,,N,N,N,N
70262,F,M+S,60071317,,M+S,,VETCERT,,9771,BB46A01,,1,378,,,Y,N,,,N,N,,,45,36,0,N,378,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,9,,,N,N,N,N
70266,F,M+S,21059813,,M+S,,VETCERT,,9771,BB52A01,,1,360,,,Y,N,,,N,N,,,240,96,0,N,360,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
70268,F,M+S,60289413,,M+S,,VETCERT,,9771,BB56A02,,1,640,,,Y,N,,,N,N,,,490,1360,1500,N,640,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
61471,F,M+S,60010007,,M+S,,,,9771,AR45A02,,80,,,,Y,Y,,,N,N,,,512,504,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,8,,,N,N,N,N
66608,F,M+S,60116603,,M+S,,VETCERT,,9771,AT28A01,,1,1296,,,Y,N,,,N,N,,,0,16,0,Y,1296,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,8,,,N,N,N,N
58812,F,M+S,60463883,,M+S,,,,9771,WB28A01,,1,900,,,Y,N,,,N,N,,,846,168,0,Y,900,,,E,E,N,Y,N,N,,,,,,,,,,,,,,,6,2024,,N,N,N,N
69097,F,M+S,21031631,,M+S,,,,9771,AZ62A02,,48,,,,Y,Y,,,N,N,,,32,96,480,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,16,,,N,N,N,N
61473,F,M+S,60067571,,M+S,,,,9771,AR45A01,,96,,,,Y,Y,,,N,N,,,264,528,864,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
70269,F,M+S,60289413,,M+S,,VETCERT,,9771,BB57A01,,1,640,,,Y,N,,,N,N,,,450,1530,1280,N,640,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
